Instance,Init,Algorithm,Cost,Time_s
N-t65d11xx_150,CW,Transpose_Best,3026799,0.000010
N-t65d11xx_150,CW,Exchange_First,3487281,0.231977
N-t65d11xx_150,CW,Exchange_Best,3444161,0.048475
N-t65d11xx_150,CW,Insert_First,3491289,0.217281
N-t65d11xx_150,CW,Insert_Best,3486585,0.069533
N-t65d11xx_150,CW,VND_TEI,3505565,0.255991
N-t65d11xx_150,CW,VND_TIE,3505966,0.226899
N-t65d11xx_250,Random,Transpose_First,6291686,0.000013
N-t65d11xx_250,Random,Transpose_Best,6318920,0.000021
N-t65d11xx_250,Random,Exchange_First,9075505,3.634933
N-t65d11xx_250,Random,Exchange_Best,8968092,0.578647
N-t65d11xx_250,Random,Insert_First,9087435,3.886646
N-t65d11xx_250,Random,Insert_Best,9105394,0.762075
N-t65d11xx_250,CW,Transpose_First,7889100,0.000015
N-t65d11xx_250,CW,Transpose_Best,7881453,0.000027
N-t65d11xx_250,CW,Exchange_First,9148690,3.409642
N-t65d11xx_250,CW,Exchange_Best,9091834,0.523530
N-t65d11xx_250,CW,Insert_First,9179106,2.831827
N-t65d11xx_250,CW,Insert_Best,9173885,0.581629
N-t65d11xx_250,CW,VND_TEI,9180513,3.274675
N-t65d11xx_250,CW,VND_TIE,9201855,2.785587
N-t65f11xx_150,Random,Transpose_First,2143139,0.000007
N-t65f11xx_150,Random,Transpose_Best,2144084,0.000010
N-t65f11xx_150,Random,Exchange_First,3060658,0.297770
N-t65f11xx_150,Random,Exchange_Best,3053624,0.058247
N-t65f11xx_150,Random,Insert_First,3077304,0.378165
N-t65f11xx_150,Random,Insert_Best,3094701,0.070517
N-t65f11xx_150,CW,Transpose_First,2650742,0.000008
N-t65f11xx_150,CW,Transpose_Best,2647685,0.000008
N-t65f11xx_150,CW,Exchange_First,3084141,0.216370
N-t65f11xx_150,CW,Exchange_Best,3060886,0.051625
N-t65f11xx_150,CW,Insert_First,3089054,0.282107
N-t65f11xx_150,CW,Insert_Best,3101222,0.062953
N-t65f11xx_150,CW,VND_TEI,3091743,0.266048
N-t65f11xx_150,CW,VND_TIE,3086926,0.192441
N-t65f11xx_250,Random,Transpose_First,5792510,0.000018
N-t65f11xx_250,Random,Transpose_Best,5797863,0.000037
N-t65f11xx_250,Random,Exchange_First,8149745,3.894968
N-t65f11xx_250,Random,Exchange_Best,8104673,0.624626
N-t65f11xx_250,Random,Insert_First,8253745,3.898248
N-t65f11xx_250,Random,Insert_Best,8196647,0.655287
N-t65f11xx_250,CW,Transpose_First,7114179,0.000019
N-t65f11xx_250,CW,Transpose_Best,7121152,0.000032
N-t65f11xx_250,CW,Exchange_First,8200306,3.147475
N-t65f11xx_250,CW,Exchange_Best,8119279,0.469908
N-t65f11xx_250,CW,Insert_First,8289311,2.953597
N-t65f11xx_250,CW,Insert_Best,8238391,0.619772
N-t65f11xx_250,CW,VND_TEI,8246160,3.421295
N-t65f11xx_250,CW,VND_TIE,8257075,2.419051
N-t65l11xx_150,Random,Transpose_First,128191,0.000005
N-t65l11xx_150,Random,Transpose_Best,128369,0.000003
N-t65l11xx_150,Random,Exchange_First,250051,0.255605
N-t65l11xx_150,Random,Exchange_Best,247080,0.055532
N-t65l11xx_150,Random,Insert_First,248920,0.206644
N-t65l11xx_150,Random,Insert_Best,249865,0.077098
N-t65l11xx_150,CW,Transpose_First,212453,0.000003
N-t65l11xx_150,CW,Transpose_Best,212466,0.000003
N-t65l11xx_150,CW,Exchange_First,247354,0.206141
N-t65l11xx_150,CW,Exchange_Best,246467,0.037288
N-t65l11xx_150,CW,Insert_First,248929,0.163086
N-t65l11xx_150,CW,Insert_Best,249067,0.055151
N-t65l11xx_150,CW,VND_TEI,249201,0.211412
N-t65l11xx_150,CW,VND_TIE,248967,0.168203
N-t65l11xx_250,Random,Transpose_First,395635,0.000005
N-t65l11xx_250,Random,Transpose_Best,396207,0.000007
N-t65l11xx_250,Random,Exchange_First,652205,3.449023
N-t65l11xx_250,Random,Exchange_Best,642843,0.488340
N-t65l11xx_250,Random,Insert_First,653157,2.391177
N-t65l11xx_250,Random,Insert_Best,651004,0.656926
N-t65l11xx_250,CW,Transpose_First,540729,0.000004
N-t65l11xx_250,CW,Transpose_Best,540744,0.000009
N-t65l11xx_250,CW,Exchange_First,654025,2.717948
N-t65l11xx_250,CW,Exchange_Best,650066,0.484305
N-t65l11xx_250,CW,Insert_First,654532,1.953621
N-t65l11xx_250,CW,Insert_Best,655620,0.557472
N-t65l11xx_250,CW,VND_TEI,656564,2.807372
N-t65l11xx_250,CW,VND_TIE,657237,1.911905
N-t65n11xx_150,Random,Transpose_First,342935,0.000007
N-t65n11xx_150,Random,Transpose_Best,346166,0.000012
N-t65n11xx_150,Random,Exchange_First,535610,0.347041
N-t65n11xx_150,Random,Exchange_Best,531415,0.054712
N-t65n11xx_150,Random,Insert_First,540462,0.389638
N-t65n11xx_150,Random,Insert_Best,539303,0.085705
N-t65n11xx_150,CW,Transpose_First,444448,0.000006
N-t65n11xx_150,CW,Transpose_Best,445370,0.000010
N-t65n11xx_150,CW,Exchange_First,540137,0.266807
N-t65n11xx_150,CW,Exchange_Best,537067,0.048179
N-t65n11xx_150,CW,Insert_First,541772,0.247742
N-t65n11xx_150,CW,Insert_Best,542739,0.073232
N-t65n11xx_150,CW,VND_TEI,543370,0.276424
N-t65n11xx_150,CW,VND_TIE,544280,0.270352
N-t65n11xx_250,Random,Transpose_First,952838,0.000013
N-t65n11xx_250,Random,Transpose_Best,955134,0.000028
N-t65n11xx_250,Random,Exchange_First,1390315,3.813149
N-t65n11xx_250,Random,Exchange_Best,1373112,0.623822
N-t65n11xx_250,Random,Insert_First,1395804,3.614873
N-t65n11xx_250,Random,Insert_Best,1388620,0.621500
N-t65n11xx_250,CW,Transpose_First,1187218,0.000016
N-t65n11xx_250,CW,Transpose_Best,1193356,0.000026
N-t65n11xx_250,CW,Exchange_First,1401022,2.987397
N-t65n11xx_250,CW,Exchange_Best,1394916,0.576587
N-t65n11xx_250,CW,Insert_First,1408683,2.480266
N-t65n11xx_250,CW,Insert_Best,1400567,0.563379
N-t65n11xx_250,CW,VND_TEI,1412240,3.591181
N-t65n11xx_250,CW,VND_TIE,1412965,2.315636
N-t69r11xx_150,Random,Transpose_First,7600701,0.000007
N-t69r11xx_150,Random,Transpose_Best,7609678,0.000007
N-t69r11xx_150,Random,Exchange_First,11426358,0.284243
N-t69r11xx_150,Random,Exchange_Best,11418554,0.062068
N-t69r11xx_150,Random,Insert_First,11590407,0.306188
N-t69r11xx_150,Random,Insert_Best,11597668,0.068624
N-t69r11xx_150,CW,Transpose_First,9684776,0.000008
N-t69r11xx_150,CW,Transpose_Best,9698234,0.000006
N-t69r11xx_150,CW,Exchange_First,11531126,0.270234
N-t69r11xx_150,CW,Exchange_Best,11463500,0.052881
N-t69r11xx_150,CW,Insert_First,11544988,0.241494
N-t69r11xx_150,CW,Insert_Best,11597493,0.067302
N-t69r11xx_150,CW,VND_TEI,11559482,0.308952
N-t69r11xx_150,CW,VND_TIE,11602495,0.249593
N-t69r11xx_250,Random,Transpose_First,21060290,0.000013
