Instance,Init,Algorithm,Cost,Time_s,Deviation_%
N-t65f11xx_250,Random,Transpose_Best,5797863,0.000033,31.056343
N-t65f11xx_250,Random,Exchange_First,8149745,4.153299,3.089600
N-t65f11xx_250,Random,Exchange_Best,8104673,0.673262,3.625561
N-t65f11xx_250,Random,Insert_First,8253745,3.834303,1.852913
N-t65f11xx_250,Random,Insert_Best,8196647,0.731901,2.531878
N-t65f11xx_250,CW,Transpose_First,7114179,0.000017,15.403742
N-t65f11xx_250,CW,Transpose_Best,7121152,0.000030,15.320824
N-t65f11xx_250,CW,Exchange_First,8200306,3.334264,2.488368
N-t65f11xx_250,CW,Exchange_Best,8119279,0.488030,3.451878
N-t65f11xx_250,CW,Insert_First,8289311,2.796644,1.429990
N-t65f11xx_250,CW,Insert_Best,8238391,0.659089,2.035491
N-t65f11xx_250,CW,VND_TEI,8246160,3.523161,1.943108
N-t65f11xx_250,CW,VND_TIE,8257075,2.308827,1.813316
N-t65l11xx_150,Random,Transpose_First,128191,0.000005,49.410804
N-t65l11xx_150,Random,Transpose_Best,128369,0.000003,49.340558
N-t65l11xx_150,Random,Exchange_First,250051,0.266020,1.320068
N-t65l11xx_150,Random,Exchange_Best,247080,0.057487,2.492541
N-t65l11xx_150,Random,Insert_First,248920,0.188451,1.766405
N-t65l11xx_150,Random,Insert_Best,249865,0.081193,1.393471
N-t65l11xx_150,CW,Transpose_First,212453,0.000003,16.157714
N-t65l11xx_150,CW,Transpose_Best,212466,0.000005,16.152583
N-t65l11xx_150,CW,Exchange_First,247354,0.210534,2.384410
N-t65l11xx_150,CW,Exchange_Best,246467,0.037750,2.734455
N-t65l11xx_150,CW,Insert_First,248929,0.153498,1.762853
N-t65l11xx_150,CW,Insert_Best,249067,0.055158,1.708393
N-t65l11xx_150,CW,VND_TEI,249201,0.219362,1.655512
N-t65l11xx_150,CW,VND_TIE,248967,0.154523,1.747857
